class_report_course,matched_course_type_name,course_type_id,discipline,price,confidence,reason,edit_url,would_enable_appointments,current_checkbox_state
AHA - Heartsaver® CPR AED - In-person,AHA - Heartsaver® CPR AED - In-person 🚒,460465,Heartsaver,$0.00,low,low-confidence normalized candidate score 1.00; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=460465,no,not inspected
AHA - Heartsaver® CPR AED - In-person 🚒,AHA - Heartsaver® CPR AED - In-person 🚒,460465,Heartsaver,$0.00,low,low-confidence normalized candidate score 1.00; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=460465,no,not inspected
AHA - Heartsaver® CPR AED - Online c̄ In-person Skills,AHA - Heartsaver® CPR AED - Online c̄ In-person Skills,209808,CPR/AED/First Aid,$70.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209808,yes,unchecked
AHA - Heartsaver® Pediatric First Aid / CPR / AED In-person ✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance ✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply,AHA - Heartsaver® Pediatric First Aid / CPR / AED In-person✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply,351632,CPR/AED/First Aid,$95.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=351632,yes,unchecked
AHA - PALS - Become an American Heart Association Instructor,AHA - PALS - Become an American Heart Association Instructor,374072,PALS,$500.00,low,low-confidence normalized candidate score 1.00; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=374072,no,not inspected
AHA - PALS Instructor Renewal,AHA - PALS Instructor Renewal,410207,Other,$0.00,low,low-confidence normalized candidate score 1.00; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410207,no,not inspected
AHA - RCP para Familiares y Amigos,AHA - RCP para Familiares y Amigos,209817,CPR/AED/First Aid,$0.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209817,yes,unchecked
"AHA ACLS Provider - HeartCode (Online + Skills Session) Complete online coursework, then schedule in-person skills testing","AHA ACLS Provider - HeartCode (Online + Skills Session)Complete online coursework, then schedule in-person skills testing",209811,ACLS,$100.00,high,embedded Class Report course type id 209811 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209811,yes,unchecked
AHA ACLS Provider - In-person (Initial) Instructor-led classroom for new or expired ACLS,AHA ACLS Provider - In-person (Initial)Instructor-led classroom for new or expired ACLS,241108,ACLS,$225.00,high,embedded Class Report course type id 241108 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=241108,yes,unchecked
AHA ACLS Provider - In-person (Renewal) Instructor-led classroom for current ACLS providers,AHA ACLS Provider - In-person (Renewal)Instructor-led classroom for current ACLS providers,209818,ACLS,$225.00,high,embedded Class Report course type id 209818 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209818,yes,unchecked
AHA BLS Provider HeartCode Skills Blended learning with online course + in-person skills session,AHA BLS Provider HeartCode SkillsBlended learning with online course + in-person skills session,210549,BLS,$55.00,high,embedded Class Report course type id 210549 matched Course Types row; appointment checkbox already checked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=210549,no,checked
AHA BLS Provider Instructor-led classroom (new or expired),AHA BLS ProviderInstructor-led classroom (new or expired),209806,BLS,$75.00,high,embedded Class Report course type id 209806 matched Course Types row; appointment checkbox already checked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209806,no,checked
AHA BLS Provider Renewal For currently certified providers,AHA BLS Provider RenewalFor currently certified providers,359474,BLS,$75.00,high,embedded Class Report course type id 359474 matched Course Types row; appointment checkbox already checked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=359474,no,checked
"AHA Heartsaver First Aid CPR AED In-person training for workplace, OSHA, and general public certification","AHA Heartsaver First Aid CPR AEDIn-person training for workplace, OSHA, and general public certification",355327,CPR/AED/First Aid,$0.00,high,embedded Class Report course type id 355327 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=355327,yes,unchecked
AHA Heartsaver K-12 - In-person 🚌 Instructor-led CPR AED and First Aid training for schools and students,AHA Heartsaver K-12 - In-person 🚌Instructor-led CPR AED and First Aid training for schools and students,396266,CPR/AED/First Aid,$15.00,high,embedded Class Report course type id 396266 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=396266,yes,unchecked
AHA Heartsaver® First Aid CPR AED - Blended Online course + in-person skills session for workplace and general certification,AHA Heartsaver® First Aid CPR AED - BlendedOnline course + in-person skills session for workplace and general certification,329495,CPR/AED/First Aid,$95.00,high,embedded Class Report course type id 329495 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=329495,yes,unchecked
AHA Heartsaver® First Aid CPR AED - In-Person Traditional classroom training for workplace and general certification,AHA Heartsaver® First Aid CPR AED - In-PersonTraditional classroom training for workplace and general certification,209809,CPR/AED/First Aid,$95.00,high,embedded Class Report course type id 209809 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209809,yes,unchecked
AHA Heartsaver® Pediatric First Aid CPR AED - Blended Online course + in-person skills session for childcare and caregivers,AHA Heartsaver® Pediatric First Aid CPR AED - BlendedOnline course + in-person skills session for childcare and caregivers,251545,CPR/AED/First Aid,$95.00,high,embedded Class Report course type id 251545 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=251545,yes,unchecked
AHA Heartsaver® Primeros Auxilios con RCP y DEA - Blended Curso en línea + sesión práctica presencial (en español),AHA Heartsaver® Primeros Auxilios con RCP y DEA - BlendedCurso en línea + sesión práctica presencial (en español),438230,Heartsaver,$95.00,high,embedded Class Report course type id 438230 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=438230,yes,unchecked
AHA Instructor Courses A la carte instructor program – choose your desired AHA Instructor certification and receive all required materials to start teaching.,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
"American Heart Association Pediatric Advanced Life Support (PALS) Provider - HeartCode® (Online + Skills Session) Complete online training, then attend an in-person skills session","American Heart Association Pediatric Advanced Life Support (PALS) Provider - HeartCode® (Online + Skills Session)Complete online training, then attend an in-person skills session",209812,PALS,$100.00,high,embedded Class Report course type id 209812 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209812,yes,unchecked
American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - Initial Instructor-led classroom training for initial or expired PALS certification,American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - InitialInstructor-led classroom training for initial or expired PALS certification,209805,PALS,$275.00,high,embedded Class Report course type id 209805 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209805,yes,unchecked
American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - Renewal Instructor-led classroom training for current or recently expired PALS certification,American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - RenewalInstructor-led classroom training for current or recently expired PALS certification,251496,PALS,$225.00,high,embedded Class Report course type id 251496 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=251496,yes,unchecked
"American Red Cross Advanced Life Support (ALS) - Blended Learning Complete online training, then attend in-person skills testing","American Red Cross Advanced Life Support (ALS) - Blended LearningComplete online training, then attend in-person skills testing",248290,ALS,$290.00,high,embedded Class Report course type id 248290 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248290,yes,unchecked
American Red Cross Advanced Life Support (ALS) - In-person Instructor-led classroom for new or expired providers,American Red Cross Advanced Life Support (ALS) - In-personInstructor-led classroom for new or expired providers,285820,ALS,$225.00,high,embedded Class Report course type id 285820 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=285820,yes,unchecked
"American Red Cross Pediatric Advanced Life Support (PALS) - Blended Learning (Online + Skills Session) Complete online training, then attend an in-person skills session","American Red Cross Pediatric Advanced Life Support (PALS) - Blended Learning (Online + Skills Session)Complete online training, then attend an in-person skills session",248291,PALS,$225.00,high,embedded Class Report course type id 248291 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248291,yes,unchecked
ARC - Adult and Pediatric CPR/AED Skills Session,ARC - Adult and Pediatric CPR/AED Skills Session,481321,Other,$75.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=481321,yes,unchecked
ARC - Adult and Pediatric First Aid/CPR/AED Skills Session-r.25,ARC - Adult and Pediatric First Aid/CPR/AED Skills Session-r.25,410694,Other,$65.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410694,yes,unchecked
"ARC - BLS - Blended Learning (Online + Skills) Complete online course, then attend in-person skills session","ARC - BLS - Blended Learning (Online + Skills)Complete online course, then attend in-person skills session",248287,BLS,$99.00,high,embedded Class Report course type id 248287 matched Course Types row; appointment checkbox already checked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248287,no,checked
ARC - BLS - In-Person Classroom Instructor-led classroom for initial or renewal certification,ARC - BLS - In-Person ClassroomInstructor-led classroom for initial or renewal certification,248288,BLS,$99.00,high,embedded Class Report course type id 248288 matched Course Types row; appointment checkbox already checked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248288,no,checked
ARC Adult CPR AED - Blended Online course + in-person skills session for workplace and general certification,ARC Adult CPR AED - BlendedOnline course + in-person skills session for workplace and general certification,372258,CPR/AED/First Aid,$90.00,high,embedded Class Report course type id 372258 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=372258,yes,unchecked
"ARC Adult | Pediatric First Aid CPR AED - In-person Full certification for adults, children, and infants","ARC Adult | Pediatric First Aid CPR AED - In-personFull certification for adults, children, and infants",369209,CPR/AED/First Aid,$110.00,high,embedded Class Report course type id 369209 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=369209,yes,unchecked
ARC BLS Challenge - Renewal for Experienced Providers Assessment-only session for experienced providers,ARC BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers,444919,BLS,$99.00,high,embedded Class Report course type id 444919 matched Course Types row; appointment checkbox already checked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=444919,no,checked
BLS ASAP! ٩(͡๏̯͡๏)۶ Need a BLS CPR/AED Certification in the Wilmington area NOW? Can’t wait for the next scheduled class? No problem!,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
BLS Provider (NHCSO),BLS Provider (NHCSO),305700,BLS,$0.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=305700,yes,unchecked
"BLS Provider (On-site; Group; Fully In-person) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!","BLS Provider (On-site; Group; Fully In-person) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",393791,BLS,$700.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=393791,yes,unchecked
Cardiac and Pulmonary Dissection with 12-Lead ECG,Cardiac and Pulmonary Dissection with 12-Lead ECG,403786,Other,$145.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=403786,yes,unchecked
"CPR / AED / First Aid (On-site; Group Class) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!","CPR / AED / First Aid (On-site; Group Class) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",385208,PALS,$400.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=385208,yes,unchecked
C̯͍̖̠̦̍ͩ̋́͗A̘͈͎̅̚R̐D̗I̙̪̎O̻̺͍̣̬ͬ͋̓P͑͒̆̑̄A̯͇̔̓͂R̬̙͈̗̭̍̊̉Ť͔̭͍̓̓ͭN͍̰̬͖̈E͍͙ͩ̇̎̃R̗̳̹͎̺S̻ͅ ̣̬̃̊͊̽ͫ,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
Heartsaver First Aid CPR AED for K-12 Schools [AHA],,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
Heartsaver® First Aid,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
Heartsaver® First Aid (No CPR AED) - Online c̄ In-person Skills [AHA],AHA - Heartsaver® CPR AED - Online c̄ In-person Skills,209808,CPR/AED/First Aid,$70.00,low,low-confidence normalized candidate score 0.81; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209808,no,not inspected
Heartsaver® TOTAL In-Person,AHA - Heartsaver® CPR AED - In-person 🚒,460465,Heartsaver,$0.00,low,low-confidence normalized candidate score 0.76; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=460465,no,not inspected
HSI Adult CPR AED Traditional Classroom,HSI Adult CPR AEDTraditional Classroom,450672,CPR/AED/First Aid,$65.00,low,low-confidence normalized candidate score 0.83; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=450672,no,not inspected
HSI Adult First Aid CPR AED - Blended Online course + in-person skills session for workplace certification,HSI Adult First Aid CPR AED - BlendedOnline course + in-person skills session for workplace certification,371954,CPR/AED/First Aid,$90.00,high,embedded Class Report course type id 371954 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=371954,yes,unchecked
HSI Adult First Aid CPR AED - In-Person Instructor-led classroom training for workplace certification,HSI Adult First Aid CPR AED - In-PersonInstructor-led classroom training for workplace certification,374378,CPR/AED/First Aid,$90.00,high,embedded Class Report course type id 374378 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=374378,yes,unchecked
HSI Adult First Aid CPR AED - In-person Traditional classroom training for workplace and general certification,HSI Adult First Aid CPR AED - In-personTraditional classroom training for workplace and general certification,422270,CPR/AED/First Aid,$80.00,high,embedded Class Report course type id 422270 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=422270,yes,unchecked
HSI Adult First Aid Traditional Classroom | No CPR,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
HSI Adult First Aid | Blended Learning Online Coursework with In-Person Skills Testing,HSI Adult First Aid | Blended LearningOnline Coursework with In-Person Skills Testing,473114,CPR/AED/First Aid,$70.00,low,low-confidence normalized candidate score 0.99; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=473114,no,not inspected
HSI Adult/Child/Infant CPR AED Traditional Classroom,HSI Adult/Child/Infant CPR AEDTraditional Classroom,375426,CPR/AED/First Aid,$65.00,high,normalized name match score 0.88; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=375426,yes,unchecked
"HSI Adult/Child/Infant CPR AED | Blended Learning Blended Learning with In-Person, Instructor-Led Skills Session","HSI Adult/Child/Infant CPR AED | Blended LearningBlended Learning with In-Person, Instructor-Led Skills Session",375428,CPR/AED/First Aid,$70.00,high,normalized name match score 0.99; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=375428,yes,unchecked
HSI BLS and Adult First Aid | Blended Learning Online coursework with in-person skills testing,HSI BLS and Adult First Aid | Blended LearningOnline coursework with in-person skills testing,445670,BLS,$90.00,high,embedded Class Report course type id 445670 matched Course Types row; appointment checkbox already checked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=445670,no,checked
HSI BLS Challenge - Renewal for Experienced Providers Assessment-only session for experienced providers ready to test out,HSI BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers ready to test out,463743,BLS,$80.00,high,embedded Class Report course type id 463743 matched Course Types row; appointment checkbox already checked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463743,no,checked
HSI Pediatric First Aid CPR AED - Blended Online course + in-person skills session for childcare and caregivers,HSI Pediatric First Aid CPR AED - BlendedOnline course + in-person skills session for childcare and caregivers,449422,CPR/AED/First Aid,$80.00,high,embedded Class Report course type id 449422 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=449422,yes,unchecked
Infant CPR & Choking Relief Class,Infant CPR & Choking Relief Class,463081,Other,$0.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463081,yes,unchecked
Phlebotomy - National Cert Test Prep,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
Phlebotomy Technician Program (80 Hr - 13 Weeks - Saturday),,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
Phlebotomy Technician Program (80 Hr - 3 Weeks - Mon-Fri),,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
"Phlebotomy Technician Program (80 Hr - 9 Weeks - M,T,W)",,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
STOP THE BLEED®,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
Take your AHA CPR programs online!,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
USCG Elementary First Aid | CPR (AHA Heartsaver®) Meets U.S. Coast Guard Maritime Requirements (AMERHA-216),USCG Elementary First Aid | CPR (AHA Heartsaver®)Meets U.S. Coast Guard Maritime Requirements (AMERHA-216),253768,CPR/AED/First Aid,$95.00,high,embedded Class Report course type id 253768 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=253768,yes,unchecked
USCG Elementary First Aid | CPR - Blended (Online + Skills) AHA Heartsaver® | Meets Maritime Requirements (AMERHA-216),USCG Elementary First Aid | CPR - Blended (Online + Skills)AHA Heartsaver® | Meets Maritime Requirements (AMERHA-216),359827,CPR/AED/First Aid,$95.00,high,embedded Class Report course type id 359827 matched Course Types row; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=359827,yes,unchecked
WALL PRINTING,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
z Personal Event - Not Availible,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
🏄 AHA - BLS Provider - Online Class with in-Person Skill Session - Initial or Renewal,,,,,unmatched,"no embedded id, alias, or high-confidence normalized match",,no,not inspected
